,Model,MAE,MSE,RMSE,R2,MAPE,Symbol
ARIMA,ARIMA,1.471644677211799,3.7371800768527814,1.9331787493278476,-0.893605523876879,1.9276797738911993,MKC
SARIMA,SARIMA,1.5273904173462824,3.951570273053519,1.9878556972410042,-1.002235681226066,2.0001586235224864,MKC
Prophet,Prophet,3.4734384228839867,14.904369467957956,3.8606177572971343,-6.551949805478659,4.523859000328137,MKC
