,Model,MAE,MSE,RMSE,R2,MAPE,Symbol
ARIMA,ARIMA,4.7660627642077324,37.34778045759249,6.111283045121744,-1.2966027617164326,3.0781995008745144,DGX
SARIMA,SARIMA,5.801250747551062,46.0603850441697,6.78678016766196,-1.8323612863226448,3.728427074638549,DGX
Prophet,Prophet,7.732031348478599,72.25342449882051,8.500201438720174,-3.4430328178639398,4.9491009901591045,DGX
