,Model,MAE,MSE,RMSE,R2,MAPE,Symbol
ARIMA,ARIMA,3.455746568335296,16.655155475539033,4.08107283389295,-2.043945090656217,3.5924912597313194,WEC
SARIMA,SARIMA,4.936950676859955,28.549219540645694,5.343146969777801,-4.217739143320874,5.103967866742521,WEC
Prophet,Prophet,8.198034018338719,70.67449491621103,8.40681241114675,-11.91667809110295,8.434756957537433,WEC
