,Model,MAE,MSE,RMSE,R2,MAPE,Symbol
ARIMA,ARIMA,3.395748808800165,15.934432774040532,3.9917956829026875,-0.9184309892619089,3.013610408058561,DUK
SARIMA,SARIMA,4.605718024104593,26.586367440999357,5.156196994006276,-2.20087397612358,4.080101236067449,DUK
Prophet,Prophet,8.356798464833512,83.52649426359767,9.139283027874653,-9.056198252676204,7.393673473864121,DUK
