,Model,MAE,MSE,RMSE,R2,MAPE,Symbol
ARIMA,ARIMA,0.3999979666455497,0.24824983900189798,0.4982467651695272,-0.0016584300521556017,1.8273738895375833,DOC
SARIMA,SARIMA,0.4910918010978911,0.4249358606430192,0.6518710460229226,-0.7145654102168177,2.2563228837457148,DOC
Prophet,Prophet,4.266022694648922,19.67526183425481,4.435680537894361,-78.38732995357186,19.482686961541003,DOC
