,Model,MAE,MSE,RMSE,R2,MAPE,Symbol
ARIMA,ARIMA,2.8245735724516186,17.24439836050292,4.152637518554072,-0.014583362307684533,2.702703677152814,STX
SARIMA,SARIMA,3.7471851544765475,22.945532564628447,4.790149534683489,-0.35001262976403713,3.6379756544996122,STX
Prophet,Prophet,8.107045801722528,75.70068623136173,8.700614129552104,-3.453890194367678,8.026002906288156,STX
