,Model,MAE,MSE,RMSE,R2,MAPE,Symbol
ARIMA,ARIMA,119.00098767035206,21869.89636098101,147.88474012209986,-1.8383565977605647,25.93658604684068,AXON
SARIMA,SARIMA,151.70107453120536,27914.467397316133,167.07623229327424,-2.6228435380930346,31.696543446782126,AXON
Prophet,Prophet,122.94080183744174,19266.512492795948,138.80386339290396,-1.5004797438057325,25.930756822322955,AXON
