,Model,MAE,MSE,RMSE,R2,MAPE,Symbol
ARIMA,ARIMA,1.4877660032672642,4.053713044841422,2.0133834818139893,-0.98100402749556,3.6098393091150225,SLB
SARIMA,SARIMA,1.3549059361525744,3.2708108062818244,1.8085383065563816,-0.5984084982694591,3.2770955284372882,SLB
Prophet,Prophet,1.8075787431161159,3.961185858070606,1.9902728099611384,-0.9357870307278493,4.191900216601125,SLB
