,Model,MAE,MSE,RMSE,R2,MAPE,Symbol
ARIMA,ARIMA,2.4920024688960782,8.209351620638902,2.865196611166309,-0.41135121446713585,3.3150674506890105,CARR
SARIMA,SARIMA,3.580418429053398,14.585775910119116,3.8191328741114936,-1.5075856774045704,4.763955298953633,CARR
Prophet,Prophet,8.757075387849394,88.8534064741872,9.42620848879268,-14.275672054491254,11.68794084397739,CARR
