,Model,MAE,MSE,RMSE,R2,MAPE,Symbol
ARIMA,ARIMA,6.145060430288395,56.96086955315597,7.5472425132067915,-1.9408868415649745,4.930517874097931,PSX
SARIMA,SARIMA,6.885908473384402,65.07025132235063,8.06661337379886,-2.3595738160676323,5.5049268382100305,PSX
Prophet,Prophet,11.681040625568347,165.94123887963224,12.881818151162989,-7.567537850500768,9.282972024138981,PSX
