date,predicted_close,stock_symbol,model_order
2024-12-02,114.0,AFL,"(0, 1, 0)"
2024-12-03,114.0,AFL,"(0, 1, 0)"
2024-12-04,114.0,AFL,"(0, 1, 0)"
2024-12-05,114.0,AFL,"(0, 1, 0)"
2024-12-06,114.0,AFL,"(0, 1, 0)"
2024-12-09,114.0,AFL,"(0, 1, 0)"
2024-12-10,114.0,AFL,"(0, 1, 0)"
2024-12-11,114.0,AFL,"(0, 1, 0)"
2024-12-12,114.0,AFL,"(0, 1, 0)"
2024-12-13,114.0,AFL,"(0, 1, 0)"
2024-12-16,114.0,AFL,"(0, 1, 0)"
2024-12-17,114.0,AFL,"(0, 1, 0)"
2024-12-18,114.0,AFL,"(0, 1, 0)"
2024-12-19,114.0,AFL,"(0, 1, 0)"
2024-12-20,114.0,AFL,"(0, 1, 0)"
2024-12-23,114.0,AFL,"(0, 1, 0)"
2024-12-24,114.0,AFL,"(0, 1, 0)"
2024-12-25,114.0,AFL,"(0, 1, 0)"
2024-12-26,114.0,AFL,"(0, 1, 0)"
2024-12-27,114.0,AFL,"(0, 1, 0)"
2024-12-30,114.0,AFL,"(0, 1, 0)"
2024-12-31,114.0,AFL,"(0, 1, 0)"
2025-01-01,114.0,AFL,"(0, 1, 0)"
2025-01-02,114.0,AFL,"(0, 1, 0)"
2025-01-03,114.0,AFL,"(0, 1, 0)"
2025-01-06,114.0,AFL,"(0, 1, 0)"
2025-01-07,114.0,AFL,"(0, 1, 0)"
2025-01-08,114.0,AFL,"(0, 1, 0)"
2025-01-09,114.0,AFL,"(0, 1, 0)"
2025-01-10,114.0,AFL,"(0, 1, 0)"
