date,predicted_close,stock_symbol,model_order
2024-12-02,207.38999938964844,ALL,"(0, 1, 0)"
2024-12-03,207.38999938964844,ALL,"(0, 1, 0)"
2024-12-04,207.38999938964844,ALL,"(0, 1, 0)"
2024-12-05,207.38999938964844,ALL,"(0, 1, 0)"
2024-12-06,207.38999938964844,ALL,"(0, 1, 0)"
2024-12-09,207.38999938964844,ALL,"(0, 1, 0)"
2024-12-10,207.38999938964844,ALL,"(0, 1, 0)"
2024-12-11,207.38999938964844,ALL,"(0, 1, 0)"
2024-12-12,207.38999938964844,ALL,"(0, 1, 0)"
2024-12-13,207.38999938964844,ALL,"(0, 1, 0)"
2024-12-16,207.38999938964844,ALL,"(0, 1, 0)"
2024-12-17,207.38999938964844,ALL,"(0, 1, 0)"
2024-12-18,207.38999938964844,ALL,"(0, 1, 0)"
2024-12-19,207.38999938964844,ALL,"(0, 1, 0)"
2024-12-20,207.38999938964844,ALL,"(0, 1, 0)"
2024-12-23,207.38999938964844,ALL,"(0, 1, 0)"
2024-12-24,207.38999938964844,ALL,"(0, 1, 0)"
2024-12-25,207.38999938964844,ALL,"(0, 1, 0)"
2024-12-26,207.38999938964844,ALL,"(0, 1, 0)"
2024-12-27,207.38999938964844,ALL,"(0, 1, 0)"
2024-12-30,207.38999938964844,ALL,"(0, 1, 0)"
2024-12-31,207.38999938964844,ALL,"(0, 1, 0)"
2025-01-01,207.38999938964844,ALL,"(0, 1, 0)"
2025-01-02,207.38999938964844,ALL,"(0, 1, 0)"
2025-01-03,207.38999938964844,ALL,"(0, 1, 0)"
2025-01-06,207.38999938964844,ALL,"(0, 1, 0)"
2025-01-07,207.38999938964844,ALL,"(0, 1, 0)"
2025-01-08,207.38999938964844,ALL,"(0, 1, 0)"
2025-01-09,207.38999938964844,ALL,"(0, 1, 0)"
2025-01-10,207.38999938964844,ALL,"(0, 1, 0)"
