date,predicted_close,stock_symbol,model_order
2024-12-02,94.38999938964844,AEE,"(0, 1, 0)"
2024-12-03,94.38999938964844,AEE,"(0, 1, 0)"
2024-12-04,94.38999938964844,AEE,"(0, 1, 0)"
2024-12-05,94.38999938964844,AEE,"(0, 1, 0)"
2024-12-06,94.38999938964844,AEE,"(0, 1, 0)"
2024-12-09,94.38999938964844,AEE,"(0, 1, 0)"
2024-12-10,94.38999938964844,AEE,"(0, 1, 0)"
2024-12-11,94.38999938964844,AEE,"(0, 1, 0)"
2024-12-12,94.38999938964844,AEE,"(0, 1, 0)"
2024-12-13,94.38999938964844,AEE,"(0, 1, 0)"
2024-12-16,94.38999938964844,AEE,"(0, 1, 0)"
2024-12-17,94.38999938964844,AEE,"(0, 1, 0)"
2024-12-18,94.38999938964844,AEE,"(0, 1, 0)"
2024-12-19,94.38999938964844,AEE,"(0, 1, 0)"
2024-12-20,94.38999938964844,AEE,"(0, 1, 0)"
2024-12-23,94.38999938964844,AEE,"(0, 1, 0)"
2024-12-24,94.38999938964844,AEE,"(0, 1, 0)"
2024-12-25,94.38999938964844,AEE,"(0, 1, 0)"
2024-12-26,94.38999938964844,AEE,"(0, 1, 0)"
2024-12-27,94.38999938964844,AEE,"(0, 1, 0)"
2024-12-30,94.38999938964844,AEE,"(0, 1, 0)"
2024-12-31,94.38999938964844,AEE,"(0, 1, 0)"
2025-01-01,94.38999938964844,AEE,"(0, 1, 0)"
2025-01-02,94.38999938964844,AEE,"(0, 1, 0)"
2025-01-03,94.38999938964844,AEE,"(0, 1, 0)"
2025-01-06,94.38999938964844,AEE,"(0, 1, 0)"
2025-01-07,94.38999938964844,AEE,"(0, 1, 0)"
2025-01-08,94.38999938964844,AEE,"(0, 1, 0)"
2025-01-09,94.38999938964844,AEE,"(0, 1, 0)"
2025-01-10,94.38999938964844,AEE,"(0, 1, 0)"
