date,predicted_close,stock_symbol,model_order
2024-12-02,282.8699951171875,AMGN,"(0, 1, 0)"
2024-12-03,282.8699951171875,AMGN,"(0, 1, 0)"
2024-12-04,282.8699951171875,AMGN,"(0, 1, 0)"
2024-12-05,282.8699951171875,AMGN,"(0, 1, 0)"
2024-12-06,282.8699951171875,AMGN,"(0, 1, 0)"
2024-12-09,282.8699951171875,AMGN,"(0, 1, 0)"
2024-12-10,282.8699951171875,AMGN,"(0, 1, 0)"
2024-12-11,282.8699951171875,AMGN,"(0, 1, 0)"
2024-12-12,282.8699951171875,AMGN,"(0, 1, 0)"
2024-12-13,282.8699951171875,AMGN,"(0, 1, 0)"
2024-12-16,282.8699951171875,AMGN,"(0, 1, 0)"
2024-12-17,282.8699951171875,AMGN,"(0, 1, 0)"
2024-12-18,282.8699951171875,AMGN,"(0, 1, 0)"
2024-12-19,282.8699951171875,AMGN,"(0, 1, 0)"
2024-12-20,282.8699951171875,AMGN,"(0, 1, 0)"
2024-12-23,282.8699951171875,AMGN,"(0, 1, 0)"
2024-12-24,282.8699951171875,AMGN,"(0, 1, 0)"
2024-12-25,282.8699951171875,AMGN,"(0, 1, 0)"
2024-12-26,282.8699951171875,AMGN,"(0, 1, 0)"
2024-12-27,282.8699951171875,AMGN,"(0, 1, 0)"
2024-12-30,282.8699951171875,AMGN,"(0, 1, 0)"
2024-12-31,282.8699951171875,AMGN,"(0, 1, 0)"
2025-01-01,282.8699951171875,AMGN,"(0, 1, 0)"
2025-01-02,282.8699951171875,AMGN,"(0, 1, 0)"
2025-01-03,282.8699951171875,AMGN,"(0, 1, 0)"
2025-01-06,282.8699951171875,AMGN,"(0, 1, 0)"
2025-01-07,282.8699951171875,AMGN,"(0, 1, 0)"
2025-01-08,282.8699951171875,AMGN,"(0, 1, 0)"
2025-01-09,282.8699951171875,AMGN,"(0, 1, 0)"
2025-01-10,282.8699951171875,AMGN,"(0, 1, 0)"
