date,predicted_close,stock_symbol,model_order
2024-12-02,232.77000427246094,ALGN,"(0, 1, 0)"
2024-12-03,232.77000427246094,ALGN,"(0, 1, 0)"
2024-12-04,232.77000427246094,ALGN,"(0, 1, 0)"
2024-12-05,232.77000427246094,ALGN,"(0, 1, 0)"
2024-12-06,232.77000427246094,ALGN,"(0, 1, 0)"
2024-12-09,232.77000427246094,ALGN,"(0, 1, 0)"
2024-12-10,232.77000427246094,ALGN,"(0, 1, 0)"
2024-12-11,232.77000427246094,ALGN,"(0, 1, 0)"
2024-12-12,232.77000427246094,ALGN,"(0, 1, 0)"
2024-12-13,232.77000427246094,ALGN,"(0, 1, 0)"
2024-12-16,232.77000427246094,ALGN,"(0, 1, 0)"
2024-12-17,232.77000427246094,ALGN,"(0, 1, 0)"
2024-12-18,232.77000427246094,ALGN,"(0, 1, 0)"
2024-12-19,232.77000427246094,ALGN,"(0, 1, 0)"
2024-12-20,232.77000427246094,ALGN,"(0, 1, 0)"
2024-12-23,232.77000427246094,ALGN,"(0, 1, 0)"
2024-12-24,232.77000427246094,ALGN,"(0, 1, 0)"
2024-12-25,232.77000427246094,ALGN,"(0, 1, 0)"
2024-12-26,232.77000427246094,ALGN,"(0, 1, 0)"
2024-12-27,232.77000427246094,ALGN,"(0, 1, 0)"
2024-12-30,232.77000427246094,ALGN,"(0, 1, 0)"
2024-12-31,232.77000427246094,ALGN,"(0, 1, 0)"
2025-01-01,232.77000427246094,ALGN,"(0, 1, 0)"
2025-01-02,232.77000427246094,ALGN,"(0, 1, 0)"
2025-01-03,232.77000427246094,ALGN,"(0, 1, 0)"
2025-01-06,232.77000427246094,ALGN,"(0, 1, 0)"
2025-01-07,232.77000427246094,ALGN,"(0, 1, 0)"
2025-01-08,232.77000427246094,ALGN,"(0, 1, 0)"
2025-01-09,232.77000427246094,ALGN,"(0, 1, 0)"
2025-01-10,232.77000427246094,ALGN,"(0, 1, 0)"
