Date,ARIMA_Forecast,SARIMA_Forecast,Prophet_Forecast,Symbol
2024-11-11,136.69343363408723,136.04313920416274,,A
2024-11-12,136.7132325461269,135.8883608806667,,A
2024-11-13,136.625784243062,135.44974759732708,,A
2024-11-14,136.51792959588613,135.86954313783335,,A
2024-11-15,136.49411161120014,136.2189738215854,,A
2024-11-18,136.49322526390296,135.83237257985832,,A
2024-11-19,136.48475624680069,136.07128198575677,,A
2024-11-20,136.47826141637773,136.5025444692963,,A
2024-11-21,136.47640014571004,137.6040897925139,,A
2024-11-22,136.4758635765851,135.2683322893595,,A
2024-11-25,136.47521337178148,134.41230460556977,,A
2024-11-26,136.47478034875766,132.7864137176109,,A
2024-11-27,136.47462962973532,131.25465391422173,,A
2024-11-28,136.47456679367428,130.91848090542476,,A
2024-11-29,136.47451606320152,131.4196790678345,,A
2024-12-02,136.474485662379,131.45600914675595,,A
2024-12-03,136.4744732953268,131.75845413869064,,A
2024-12-04,136.47446738544002,130.9549620493107,,A
2024-12-05,136.4744634172821,134.5152497871994,,A
2024-12-06,136.47446117970028,136.18064184650842,,A
2024-12-09,136.4744601699553,137.1027293337981,,A
2024-12-10,136.47445965739047,134.61236128773828,,A
2024-12-11,136.4744593458279,135.1782030304898,,A
2024-12-12,136.47445917569473,132.85656043778403,,A
2024-12-13,136.47445909371962,131.79502386617128,,A
2024-12-16,136.47445905095216,131.55416362042124,,A
2024-12-17,136.47445902638114,131.56154342487352,,A
2024-12-18,136.47445901317712,131.79936315943775,,A
2024-12-19,136.47445900655413,132.1264965048562,,A
2024-12-20,136.47445900305632,131.54205724226034,,A
2024-11-11,227.10774438750244,229.4529124783885,,AAPL
2024-11-12,226.77680248010225,231.95437650584705,,AAPL
2024-11-13,227.1344810649529,232.5543862270542,,AAPL
2024-11-14,226.7718270409954,231.84072957532547,,AAPL
2024-11-15,226.80910782395017,232.3625203958128,,AAPL
2024-11-18,226.7657624090062,231.94008555996004,,AAPL
2024-11-19,226.8244083057785,229.4599382374376,,AAPL
2024-11-20,226.77740962389447,229.26984330703385,,AAPL
2024-11-21,226.8048855963208,231.49801762354627,,AAPL
2024-11-22,226.7988474818725,232.0033755017444,,AAPL
2024-11-25,226.8072110442942,233.75603277866628,,AAPL
2024-11-26,226.79937327304685,230.6758797367147,,AAPL
2024-11-27,226.8042904113105,231.6690867271373,,AAPL
2024-11-28,226.8018903399639,233.2418140862516,,AAPL
2024-11-29,226.80302015665305,234.6188030282817,,AAPL
2024-12-02,226.80178812474884,234.45499876023055,,AAPL
2024-12-03,226.8026900728444,232.68954148741145,,AAPL
2024-12-04,226.8021918072065,230.16109026152375,,AAPL
2024-12-05,226.80245538334356,227.39035272966908,,AAPL
2024-12-06,226.8022755789908,226.8034259040949,,AAPL
2024-12-09,226.80243118333817,228.59102341856365,,AAPL
2024-12-10,226.8023331518788,228.40583630499145,,AAPL
2024-12-11,226.80238708859756,231.8395520683557,,AAPL
2024-12-12,226.8023537161881,230.1904940907069,,AAPL
2024-12-13,226.80237850023013,232.02201124010625,,AAPL
2024-12-16,226.80236035238727,234.1138891096656,,AAPL
2024-12-17,226.80237109682733,235.05655778326636,,AAPL
2024-12-18,226.80236474667564,234.585393899314,,AAPL
2024-12-19,226.80236907173375,234.0984755876748,,AAPL
2024-12-20,226.80236595831985,232.74725739366636,,AAPL
2024-11-11,134.6246206839608,136.50343265194903,,ABNB
2024-11-12,134.2467364492577,139.13625907930162,,ABNB
2024-11-13,135.1725508042655,138.13304049279296,,ABNB
2024-11-14,135.5438036928359,139.93174513898657,,ABNB
2024-11-15,135.13452443654865,139.65162005506232,,ABNB
2024-11-18,135.08087088360995,138.0651231442187,,ABNB
2024-11-19,135.03337730204757,139.8649704201959,,ABNB
2024-11-20,135.08924735326815,140.54823058378994,,ABNB
2024-11-21,135.11008857407936,141.19583307019545,,ABNB
2024-11-22,135.0998345551148,142.91069026706865,,ABNB
2024-11-25,135.09483333883895,144.65075945300978,,ABNB
2024-11-26,135.09119782872702,137.21499888621858,,ABNB
2024-11-27,135.09359604048734,138.4858118019227,,ABNB
2024-11-28,135.09475413181372,140.64855754646408,,ABNB
2024-11-29,135.09470018901146,140.9357912910043,,ABNB
2024-12-02,135.09440821652788,142.85242882097145,,ABNB
2024-12-03,135.09417968844727,141.98671618303658,,ABNB
2024-12-04,135.0942537352085,140.32789357849362,,ABNB
2024-12-05,135.09431343218338,142.05170607102468,,ABNB
2024-12-06,135.09433006158383,142.5749194320999,,ABNB
2024-12-09,135.09431754367384,143.39964014281097,,ABNB
2024-12-10,135.09430489738955,145.91989367270014,,ABNB
2024-12-11,135.09430570233334,150.42434017816117,,ABNB
2024-12-12,135.0943084034736,139.87026844873805,,ABNB
2024-12-13,135.0943099575339,141.50573880159448,,ABNB
2024-12-16,135.09430960890606,143.9438027702082,,ABNB
2024-12-17,135.09430898528814,143.47524101747683,,ABNB
2024-12-18,135.09430888040788,145.32280733815324,,ABNB
2024-12-19,135.09430897955045,144.80006320093105,,ABNB
2024-12-20,135.0943090784764,143.18360051304788,,ABNB
