Date,ARIMA_Forecast,RNN_Forecast,Symbol
2024-11-08,68.55296425729081,,C
2024-11-11,68.72502005875475,,C
2024-11-12,68.68466763579156,,C
2024-11-13,68.70614877744175,,C
2024-11-14,68.69955430890418,,C
2024-11-15,68.7055198860936,,C
2024-11-18,68.70372802594865,,C
2024-11-19,68.7046346984536,,C
2024-11-20,68.70428612746137,,C
2024-11-21,68.70450833107374,,C
2024-11-22,68.7044293408594,,C
2024-11-25,68.70446784800168,,C
2024-11-26,68.70445163906875,,C
2024-11-27,68.70446036549136,,C
2024-11-28,68.70445691916456,,C
2024-11-29,68.70445855658691,,C
2024-12-02,68.70445783934079,,C
2024-12-03,68.70445819406461,,C
2024-12-04,68.70445804500234,,C
2024-12-05,68.70445811462777,,C
2024-12-06,68.70445808356591,,C
2024-12-09,68.70445809828486,,C
2024-12-10,68.70445809187758,,C
2024-12-11,68.7044580948377,,C
2024-12-12,68.70445809350555,,C
2024-12-13,68.70445809412342,,C
2024-12-16,68.70445809384915,,C
2024-12-17,68.70445809397499,,C
2024-12-18,68.70445809391812,,C
2024-12-19,68.70445809394423,,C
