Date,ARIMA_Forecast,RNN_Forecast,Symbol
2024-11-08,74.12241773075297,,REG
2024-11-11,74.11987567869922,,REG
2024-11-12,74.10876793910938,,REG
2024-11-13,74.0955655947747,,REG
2024-11-14,74.09843688924695,,REG
2024-11-15,74.0995545239605,,REG
2024-11-18,74.0994177296682,,REG
2024-11-19,74.09973469544165,,REG
2024-11-20,74.09972037272242,,REG
2024-11-21,74.09966076368936,,REG
2024-11-22,74.09966773156411,,REG
2024-11-25,74.09966428631384,,REG
2024-11-26,74.09966248294278,,REG
2024-11-27,74.09966436123203,,REG
2024-11-28,74.09966439849894,,REG
2024-11-29,74.09966430263681,,REG
2024-12-02,74.09966438217107,,REG
2024-12-03,74.09966434705048,,REG
2024-12-04,74.09966433458933,,REG
2024-12-05,74.09966434072163,,REG
2024-12-06,74.0996643393135,,REG
2024-12-09,74.09966433936415,,REG
2024-12-10,74.0996643399528,,REG
2024-12-11,74.099664339802,,REG
2024-12-12,74.09966433978106,,REG
2024-12-13,74.09966433980328,,REG
2024-12-16,74.09966433978767,,REG
2024-12-17,74.09966433978815,,REG
2024-12-18,74.09966433979051,,REG
2024-12-19,74.09966433978973,,REG
