Date,ARIMA_Forecast,RNN_Forecast,Symbol
2024-11-08,168.88753638459127,,DHI
2024-11-11,168.84926534311424,,DHI
2024-11-12,168.63018970943034,,DHI
2024-11-13,168.72079255354117,,DHI
2024-11-14,168.73893040507232,,DHI
2024-11-15,168.74017946375312,,DHI
2024-11-18,168.7344462865118,,DHI
2024-11-19,168.728469370185,,DHI
2024-11-20,168.73294515562117,,DHI
2024-11-21,168.7331876386088,,DHI
2024-11-22,168.73311015985098,,DHI
2024-11-25,168.73278824120237,,DHI
2024-11-26,168.73268269217692,,DHI
2024-11-27,168.73287091136208,,DHI
2024-11-28,168.7328590349086,,DHI
2024-11-29,168.7328517336324,,DHI
2024-12-02,168.73283838969746,,DHI
2024-12-03,168.73283953854212,,DHI
2024-12-04,168.73284644639534,,DHI
2024-12-05,168.73284514968338,,DHI
2024-12-06,168.7328447829398,,DHI
2024-12-09,168.73284434608502,,DHI
2024-12-10,168.73284457729636,,DHI
2024-12-11,168.7328447954504,,DHI
2024-12-12,168.73284471788182,,DHI
2024-12-13,168.73284470534585,,DHI
2024-12-16,168.7328446951258,,DHI
2024-12-17,168.73284470969227,,DHI
2024-12-18,168.73284471520665,,DHI
2024-12-19,168.7328447115549,,DHI
