Date,Predicted Close,Symbol
2024-11-09,404.2076877973516,HD
2024-11-10,404.72864786868394,HD
2024-11-11,412.8290305497954,HD
2024-11-12,413.3079383904058,HD
2024-11-13,413.3780811848629,HD
2024-11-14,414.34506970580566,HD
2024-11-15,415.2700575989561,HD
2024-11-16,407.85439976127583,HD
2024-11-17,408.37535983260324,HD
2024-11-18,416.475742513711,HD
2024-11-19,416.9546503543169,HD
2024-11-20,417.0247931487733,HD
2024-11-21,417.99178166972075,HD
2024-11-22,418.9167695628612,HD
2024-11-23,411.5011117251896,HD
2024-11-24,412.0220717965226,HD
2024-11-25,420.12245447762666,HD
2024-11-26,420.6013623182246,HD
2024-11-27,420.6715051126831,HD
2024-11-28,421.638493633631,HD
2024-11-29,422.56348152676634,HD
2024-11-30,415.14782368909084,HD
2024-12-01,415.6687837604353,HD
2024-12-02,423.76916644151964,HD
2024-12-03,424.24807428213234,HD
2024-12-04,424.3182170765941,HD
2024-12-05,425.28520559753565,HD
2024-12-06,426.21019349067626,HD
2024-12-07,418.7945356529983,HD
2024-12-08,419.31549572433266,HD
