Date,ARIMA_Forecast,RNN_Forecast,Symbol
2024-11-08,143.20017558381628,,ROST
2024-11-11,143.22043939656916,,ROST
2024-11-12,143.27817541613302,,ROST
2024-11-13,143.22889821984273,,ROST
2024-11-14,143.2158315977876,,ROST
2024-11-15,143.22050816071015,,ROST
2024-11-18,143.2194717308477,,ROST
2024-11-19,143.2186952603675,,ROST
2024-11-20,143.21942084141,,ROST
2024-11-21,143.21951861261877,,ROST
2024-11-22,143.21943758865632,,ROST
2024-11-25,143.21946374572295,,ROST
2024-11-26,143.21947259519632,,ROST
2024-11-27,143.21946190062232,,ROST
2024-11-28,143.21946176791994,,ROST
2024-11-29,143.21946296975267,,ROST
2024-12-02,143.21946243864713,,ROST
2024-12-03,143.21946236465485,,ROST
2024-12-04,143.21946251898868,,ROST
2024-12-05,143.21946250306962,,ROST
2024-12-06,143.21946248741654,,ROST
2024-12-09,143.21946249698092,,ROST
2024-12-10,143.21946249704115,,ROST
2024-12-11,143.21946249489827,,ROST
2024-12-12,143.21946249536916,,ROST
2024-12-13,143.21946249554253,,ROST
2024-12-16,143.21946249538433,,ROST
2024-12-17,143.21946249540036,,ROST
2024-12-18,143.21946249542847,,ROST
2024-12-19,143.21946249541858,,ROST
