Date,ARIMA_Forecast,RNN_Forecast,Symbol
2024-11-08,233.1322852706996,,AVB
2024-11-11,232.3859802209746,,AVB
2024-11-12,232.83601925539259,,AVB
2024-11-13,232.55338294567375,,AVB
2024-11-14,232.07137045030132,,AVB
2024-11-15,232.17596154038188,,AVB
2024-11-18,232.23962340697534,,AVB
2024-11-19,232.1742675939729,,AVB
2024-11-20,232.20298049762016,,AVB
2024-11-21,232.2448417642027,,AVB
2024-11-22,232.23025310675237,,AVB
2024-11-25,232.22540250877984,,AVB
2024-11-26,232.23331788180158,,AVB
2024-11-27,232.23012525856146,,AVB
2024-11-28,232.226452545868,,AVB
2024-11-29,232.22829136107282,,AVB
2024-12-02,232.2285932110024,,AVB
2024-12-03,232.22771074202632,,AVB
2024-12-04,232.2280831846382,,AVB
2024-12-05,232.22840322361606,,AVB
2024-12-06,232.22818535968764,,AVB
2024-12-09,232.2281762175381,,AVB
2024-12-10,232.228269798467,,AVB
2024-12-11,232.22822575309712,,AVB
2024-12-12,232.22819854606362,,AVB
2024-12-13,232.22822328729524,,AVB
2024-12-16,232.22822185303698,,AVB
2024-12-17,232.22821229089405,,AVB
2024-12-18,232.22821746955344,,AVB
2024-12-19,232.2282196732723,,AVB
