Symbol,Date,Predicted Close
KMB,2024-11-08,133.5724311573434
KMB,2024-11-11,133.65784653013577
KMB,2024-11-12,133.51869157627507
KMB,2024-11-13,133.5136631797383
KMB,2024-11-14,133.55062694051784
KMB,2024-11-15,133.54929887140975
KMB,2024-11-18,133.55485388048587
KMB,2024-11-19,133.54992566376131
KMB,2024-11-20,133.54924805057976
KMB,2024-11-21,133.5502085094862
KMB,2024-11-22,133.55012399120997
KMB,2024-11-25,133.55040541072108
KMB,2024-11-26,133.55024611767547
KMB,2024-11-27,133.5502158947848
KMB,2024-11-28,133.55023926180087
KMB,2024-11-29,133.55023353828258
KMB,2024-12-02,133.55024582397894
KMB,2024-12-03,133.55024089003555
KMB,2024-12-04,133.5502399077215
KMB,2024-12-05,133.5502404372346
KMB,2024-12-06,133.55024010538258
KMB,2024-12-09,133.5502405940652
KMB,2024-12-10,133.55024044183898
KMB,2024-12-11,133.55024041796884
KMB,2024-12-12,133.5502404293872
KMB,2024-12-13,133.55024041267595
KMB,2024-12-16,133.55024043096773
KMB,2024-12-17,133.55024042609998
KMB,2024-12-18,133.5502404258118
KMB,2024-12-19,133.5502404260685
