Date,ARIMA_Forecast,RNN_Forecast,Symbol
2024-11-08,108.22420471199177,,CHRW
2024-11-11,107.97274063007569,,CHRW
2024-11-12,107.85003868258308,,CHRW
2024-11-13,107.7499967802933,,CHRW
2024-11-14,107.74508739119342,,CHRW
2024-11-15,107.78789925345887,,CHRW
2024-11-18,107.8071702816421,,CHRW
2024-11-19,107.81516933259252,,CHRW
2024-11-20,107.81962562163761,,CHRW
2024-11-21,107.81665255463265,,CHRW
2024-11-22,107.81281381331347,,CHRW
2024-11-25,107.8117300690465,,CHRW
2024-11-26,107.81138261752628,,CHRW
2024-11-27,107.8113697299948,,CHRW
2024-11-28,107.81179078357619,,CHRW
2024-11-29,107.81205729036051,,CHRW
2024-12-02,107.81208830159527,,CHRW
2024-12-03,107.81208744945971,,CHRW
2024-12-04,107.81206373823554,,CHRW
2024-12-05,107.81202491945291,,CHRW
2024-12-06,107.81201152563064,,CHRW
2024-12-09,107.81201382518788,,CHRW
2024-12-10,107.812015982235,,CHRW
2024-12-11,107.81201917202185,,CHRW
2024-12-12,107.81202190984651,,CHRW
2024-12-13,107.81202215306872,,CHRW
2024-12-16,107.81202165514021,,CHRW
2024-12-17,107.81202137381823,,CHRW
2024-12-18,107.81202108960778,,CHRW
2024-12-19,107.8120209488543,,CHRW
