Date,ARIMA_Forecast,RNN_Forecast,Symbol
2024-11-08,183.4841294893618,,AVGO
2024-11-11,182.07092222766022,,AVGO
2024-11-12,180.7023005944036,,AVGO
2024-11-13,179.95489024480247,,AVGO
2024-11-14,179.878123366192,,AVGO
2024-11-15,179.98720580123955,,AVGO
2024-11-18,180.34337087666137,,AVGO
2024-11-19,180.64651745632406,,AVGO
2024-11-20,180.7987132273022,,AVGO
2024-11-21,180.825634879687,,AVGO
2024-11-22,180.7841678427714,,AVGO
2024-11-25,180.69908716393996,,AVGO
2024-11-26,180.6323147515972,,AVGO
2024-11-27,180.5988676064584,,AVGO
2024-11-28,180.5932501761647,,AVGO
2024-11-29,180.6058308918863,,AVGO
2024-12-02,180.62562900304636,,AVGO
2024-12-03,180.6405836264376,,AVGO
2024-12-04,180.64802966448585,,AVGO
2024-12-05,180.6488652684656,,AVGO
2024-12-06,180.64545059951516,,AVGO
2024-12-09,180.6408689915105,,AVGO
2024-12-10,180.63747534222384,,AVGO
2024-12-11,180.63584281027426,,AVGO
2024-12-12,180.6357827400471,,AVGO
2024-12-13,180.6366586146605,,AVGO
2024-12-16,180.6377224606792,,AVGO
2024-12-17,180.6384953425718,,AVGO
2024-12-18,180.63884562028167,,AVGO
2024-12-19,180.63882838369008,,AVGO
