Date,Predicted Close,Symbol
2024-11-09,125.94591568366904,GPC
2024-11-10,125.819353213754,GPC
2024-11-11,127.45801117898223,GPC
2024-11-12,126.7646560754299,GPC
2024-11-13,126.68047317073754,GPC
2024-11-14,126.19943263194388,GPC
2024-11-15,126.34728434061545,GPC
2024-11-16,125.05998742518787,GPC
2024-11-17,124.9334249552748,GPC
2024-11-18,126.57208292050147,GPC
2024-11-19,125.87872781694799,GPC
2024-11-20,125.79454491225542,GPC
2024-11-21,125.31350437346451,GPC
2024-11-22,125.4613560821325,GPC
2024-11-23,124.17405916670867,GPC
2024-11-24,124.04749669679559,GPC
2024-11-25,125.68615466202075,GPC
2024-11-26,124.99279955846558,GPC
2024-11-27,124.90861665377493,GPC
2024-11-28,124.42757611498172,GPC
2024-11-29,124.57542782364959,GPC
2024-11-30,123.28813090822433,GPC
2024-12-01,123.16156843831413,GPC
2024-12-02,124.80022640353613,GPC
2024-12-03,124.1068712999832,GPC
2024-12-04,124.02268839529214,GPC
2024-12-05,123.54164785650063,GPC
2024-12-06,123.68949956516903,GPC
2024-12-07,122.40220264974258,GPC
2024-12-08,122.27564017983033,GPC
