Date,Predicted Close,Symbol
2024-11-09,260.0455230136081,PGR
2024-11-10,260.41292605030173,PGR
2024-11-11,262.61530352613624,PGR
2024-11-12,262.7549075436977,PGR
2024-11-13,263.64713707058314,PGR
2024-11-14,263.5174104446763,PGR
2024-11-15,264.1077594027967,PGR
2024-11-16,262.61733788072945,PGR
2024-11-17,262.9847409174248,PGR
2024-11-18,265.18711839325755,PGR
2024-11-19,265.32672241081843,PGR
2024-11-20,266.218951937703,PGR
2024-11-21,266.08922531179803,PGR
2024-11-22,266.6795742699151,PGR
2024-11-23,265.18915274785223,PGR
2024-11-24,265.55655578454787,PGR
2024-11-25,267.7589332603789,PGR
2024-11-26,267.8985372779378,PGR
2024-11-27,268.7907668048229,PGR
2024-11-28,268.661040178917,PGR
2024-11-29,269.2513891370335,PGR
2024-11-30,267.7609676149689,PGR
2024-12-01,268.12837065166786,PGR
2024-12-02,270.3307481274952,PGR
2024-12-03,270.47035214505723,PGR
2024-12-04,271.36258167194285,PGR
2024-12-05,271.23285504603757,PGR
2024-12-06,271.8232040041543,PGR
2024-12-07,270.3327824820886,PGR
2024-12-08,270.7001855187864,PGR
