symbol,basic_statistics,stationarity_test,volatility_analysis,analysis_period,MAE,MSE,RMSE,R2,MAPE,Date,ARIMA_Forecast,RNN_Forecast,Symbol
AAPL,"{'mean': 186.095674633214, 'std': 24.742493941007822, 'min': 125.0199966430664, 'max': 236.47999572753906, 'median': 183.30999755859375, 'skewness': 0.19236357615676597, 'kurtosis': -0.3899529688619925}","{'test_statistic': -1.867633320322129, 'p_value': 0.34743719713590415, 'critical_values': {'1%': -3.4444914328761977, '5%': -2.8677756786103683, '10%': -2.570091378194011}}","{'annual_volatility': 0.21749807008646474, 'max_volatility': 0.3400607913508936, 'min_volatility': 0.12089239533185167, 'avg_volatility': 0.2120810621549979}","{'start_date': Timestamp('2023-01-03 00:00:00'), 'end_date': Timestamp('2024-11-08 00:00:00'), 'trading_days': 467}",,,,,,,,,
,,,,,3.913450114664464,22.862294090055,4.781453135821264,-0.3130773412733947,,,,,
,,,,,4.536326569428522,29.901837140987933,5.468257230689494,-0.7173877939641191,,,,,
,,,,,4.7108603584494295,35.419963221861046,5.951467316709472,-1.034316895415758,,,,,
,,,,,6.189140185320767,53.161555684426126,7.2911971365768276,-2.053290886780638,,,,,
,,,,,217.2629925727844,47220.5955843242,217.3030040849049,-2711.0766559547587,,,,,
ABBV,"{'mean': 161.75196969075174, 'std': 18.15819521312943, 'min': 132.50999450683594, 'max': 203.8699951171875, 'median': 159.61000061035156, 'skewness': 0.5446628831629318, 'kurtosis': -0.6803850473805912}","{'test_statistic': -0.3337477962070691, 'p_value': 0.920586772089607, 'critical_values': {'1%': -3.4444609168389615, '5%': -2.8677622536920317, '10%': -2.5700842229549266}}","{'annual_volatility': 0.19990440734009318, 'max_volatility': 0.32181646111075896, 'min_volatility': 0.08737489371139245, 'avg_volatility': 0.18805665315935627}","{'start_date': Timestamp('2023-01-03 00:00:00'), 'end_date': Timestamp('2024-11-08 00:00:00'), 'trading_days': 467}",,,,,,,,,
,,,,,6.014749165403413,50.76108461892284,7.124681369641932,-0.9419591607628676,,,,,
,,,,,13.060288572209153,215.2797861731777,14.67241582607233,-7.235926320814405,,,,,
,,,,,13.86388392825199,220.151533260974,14.837504280065904,-7.42230401461449,,,,,
,,,,,5.591575494488393,52.434430732910776,7.241162250144018,-1.00597611074692,,,,,
,,,,,183.02733116149903,33525.15235478958,183.0987502818891,-1281.5666988818564,,,,,
ABNB,"{'mean': 133.21554604638567, 'std': 16.81029123669392, 'min': 84.9000015258789, 'max': 168.17999267578125, 'median': 132.75, 'skewness': -0.05736759258223554, 'kurtosis': -0.46363703405750023}","{'test_statistic': -3.070951285804304, 'p_value': 0.02877895538373957, 'critical_values': {'1%': -3.4444609168389615, '5%': -2.8677622536920317, '10%': -2.5700842229549266}}","{'annual_volatility': 0.38761615668983906, 'max_volatility': 0.7315618382687203, 'min_volatility': 0.17126182425851455, 'avg_volatility': 0.3618819779147081}","{'start_date': Timestamp('2023-01-03 00:00:00'), 'end_date': Timestamp('2024-11-08 00:00:00'), 'trading_days': 467}",,,,,,,,,
,,,,,3.122691595917962,20.11227072928473,4.484670637770932,0.0100268442328453,,,,,
,,,,,6.9764875089536975,58.0590203067131,7.619646993576087,-1.857801206409584,,,,,
,,,,,18.40163488073781,415.307468565106,20.37909390932546,-19.44240806038951,,,,,
,,,,,5.619684225242505,42.35897805076044,6.508377528290783,-1.085008288742058,,,,,
,,,,,124.16695515314738,15437.693238110483,124.24851402777614,-758.8794834461247,,,,,
ABT,"{'mean': 107.3099787219944, 'std': 6.381971805190609, 'min': 90.19000244140625, 'max': 120.95999908447266, 'median': 107.4000015258789, 'skewness': -0.21315596964606298, 'kurtosis': -0.4537119071459106}","{'test_statistic': -1.977358065631713, 'p_value': 0.29658817715220265, 'critical_values': {'1%': -3.4444609168389615, '5%': -2.8677622536920317, '10%': -2.5700842229549266}}","{'annual_volatility': 0.1937852544519044, 'max_volatility': 0.317254100451277, 'min_volatility': 0.08719238538675032, 'avg_volatility': 0.18514168168304632}","{'start_date': Timestamp('2023-01-03 00:00:00'), 'end_date': Timestamp('2024-11-08 00:00:00'), 'trading_days': 467}",,,,,,,,,
,,,,,1.7408131272433272,4.649572568301854,2.1562867546552926,-0.3267529628888395,,,,,
,,,,,2.402675321049721,8.68928802134483,2.9477598310148725,-1.4794835349616404,,,,,
,,,,,3.8879619511539674,18.39995528732057,4.289516906053707,-4.250417072937676,,,,,
,,,,,2.132489872570864,6.633971615691815,2.575649746314862,-0.8930001344304574,,,,,
,,,,,104.6781545639038,10961.008177980864,104.69483357826624,-3126.717626245424,,,,,
ACGL,"{'mean': 84.89593152979457, 'std': 14.082479867760112, 'min': 61.2599983215332, 'max': 114.86000061035156, 'median': 82.08999633789062, 'skewness': 0.39117529853146105, 'kurtosis': -0.8383725939477795}","{'test_statistic': -1.2023970390124246, 'p_value': 0.6725637171730111, 'critical_values': {'1%': -3.4446148284445153, '5%': -2.8678299626609314, '10%': -2.5701203107928157}}","{'annual_volatility': 0.24382933404582272, 'max_volatility': 0.444635202707942, 'min_volatility': 0.12385951739994717, 'avg_volatility': 0.23081911995141727}","{'start_date': Timestamp('2023-01-03 00:00:00'), 'end_date': Timestamp('2024-11-08 00:00:00'), 'trading_days': 467}",,,,,,,,,
,,,,,6.95080948070689,62.083201095394585,7.879289377564108,-0.9677553310702756,,,,,
,,,,,7.883613255361274,74.45223952640713,8.62857111730599,-1.3597976369339717,,,,,
,,,,,5.7817804080064,54.29332135683627,7.368400189785858,-0.7208515452878517,,,,,
