symbol,basic_statistics,stationarity_test,volatility_analysis,analysis_period
ADSK,"{'mean': 226.912783833081, 'std': 26.7006086970755, 'min': 182.07000732421875, 'max': 305.55999755859375, 'median': 217.92999267578125, 'skewness': 0.6702130210944515, 'kurtosis': -0.473907400820607}","{'test_statistic': -0.6946764336331483, 'p_value': 0.8481236468109647, 'critical_values': {'1%': -3.4444609168389615, '5%': -2.8677622536920317, '10%': -2.5700842229549266}}","{'annual_volatility': 0.2898139612892462, 'max_volatility': 0.566711250682407, 'min_volatility': 0.15735168709636474, 'avg_volatility': 0.2794609943593376}","{'start_date': Timestamp('2023-01-03 00:00:00'), 'end_date': Timestamp('2024-11-08 00:00:00'), 'trading_days': 467}"
AEE,"{'mean': 79.51098492314014, 'std': 6.332397702747406, 'min': 67.91999816894531, 'max': 90.76000213623047, 'median': 80.22000122070312, 'skewness': -0.030747640278153573, 'kurtosis': -1.2565359154836622}","{'test_statistic': -1.5954694868515502, 'p_value': 0.48586892523458275, 'critical_values': {'1%': -3.4444609168389615, '5%': -2.8677622536920317, '10%': -2.5700842229549266}}","{'annual_volatility': 0.20002481171014272, 'max_volatility': 0.38183244342663475, 'min_volatility': 0.08705900572086656, 'avg_volatility': 0.18953708685932408}","{'start_date': Timestamp('2023-01-03 00:00:00'), 'end_date': Timestamp('2024-11-08 00:00:00'), 'trading_days': 467}"
AEP,"{'mean': 87.26498919533968, 'std': 7.755732497016466, 'min': 71.33000183105469, 'max': 104.94999694824219, 'median': 86.8499984741211, 'skewness': 0.26043268398403957, 'kurtosis': -0.7997741579797863}","{'test_statistic': -1.444984487062318, 'p_value': 0.5605302668016817, 'critical_values': {'1%': -3.4444609168389615, '5%': -2.8677622536920317, '10%': -2.5700842229549266}}","{'annual_volatility': 0.1999330203926997, 'max_volatility': 0.2976871991561449, 'min_volatility': 0.10328874036809338, 'avg_volatility': 0.19333094319657998}","{'start_date': Timestamp('2023-01-03 00:00:00'), 'end_date': Timestamp('2024-11-08 00:00:00'), 'trading_days': 467}"
AES,"{'mean': 19.289785834400252, 'std': 3.402925485942697, 'min': 12.449999809265137, 'max': 28.110000610351562, 'median': 18.31999969482422, 'skewness': 0.692721252506949, 'kurtosis': -0.11182491001141148}","{'test_statistic': -1.7035762272917196, 'p_value': 0.4292708453396961, 'critical_values': {'1%': -3.44455286264131, '5%': -2.8678027030003483, '10%': -2.5701057817594894}}","{'annual_volatility': 0.3632596655039404, 'max_volatility': 0.5535774744760333, 'min_volatility': 0.1888291499254884, 'avg_volatility': 0.34023036183353855}","{'start_date': Timestamp('2023-01-03 00:00:00'), 'end_date': Timestamp('2024-11-08 00:00:00'), 'trading_days': 467}"
AFL,"{'mean': 81.99008579785104, 'std': 13.58073506835535, 'min': 61.2400016784668, 'max': 115.26000213623047, 'median': 80.43000030517578, 'skewness': 0.8457165455326682, 'kurtosis': -0.049412150677691}","{'test_statistic': 0.10014280017176017, 'p_value': 0.9660708423610753, 'critical_values': {'1%': -3.4444609168389615, '5%': -2.8677622536920317, '10%': -2.5700842229549266}}","{'annual_volatility': 0.2039267420888818, 'max_volatility': 0.3924222351346283, 'min_volatility': 0.09257853468868668, 'avg_volatility': 0.19106775669276155}","{'start_date': Timestamp('2023-01-03 00:00:00'), 'end_date': Timestamp('2024-11-08 00:00:00'), 'trading_days': 467}"
AIG,"{'mean': 66.11531048106943, 'std': 8.830175490675161, 'min': 47.15999984741211, 'max': 80.54000091552734, 'median': 65.9000015258789, 'skewness': -0.19353578766810553, 'kurtosis': -1.1385100875769663}","{'test_statistic': -0.9299679623975319, 'p_value': 0.777943435279365, 'critical_values': {'1%': -3.4444609168389615, '5%': -2.8677622536920317, '10%': -2.5700842229549266}}","{'annual_volatility': 0.2373465367860905, 'max_volatility': 0.5569976049012811, 'min_volatility': 0.10523356710901254, 'avg_volatility': 0.22177704744664903}","{'start_date': Timestamp('2023-01-03 00:00:00'), 'end_date': Timestamp('2024-11-08 00:00:00'), 'trading_days': 467}"
AIZ,"{'mean': 156.32424010250247, 'std': 25.336510447168006, 'min': 104.91999816894531, 'max': 209.38999938964844, 'median': 164.3000030517578, 'skewness': -0.05946751894623041, 'kurtosis': -1.2596426071364348}","{'test_statistic': -0.1822527899809048, 'p_value': 0.9406042400785771, 'critical_values': {'1%': -3.4444609168389615, '5%': -2.8677622536920317, '10%': -2.5700842229549266}}","{'annual_volatility': 0.24228550000118246, 'max_volatility': 0.4634603180478396, 'min_volatility': 0.12243310992864707, 'avg_volatility': 0.22461885263255957}","{'start_date': Timestamp('2023-01-03 00:00:00'), 'end_date': Timestamp('2024-11-08 00:00:00'), 'trading_days': 467}"
AJG,"{'mean': 236.33473244775286, 'std': 30.836506482193776, 'min': 177.08999633789062, 'max': 299.54998779296875, 'median': 233.99000549316406, 'skewness': 0.2210215391149351, 'kurtosis': -0.736633241887704}","{'test_statistic': -0.666488665263581, 'p_value': 0.8552398588571418, 'critical_values': {'1%': -3.4444609168389615, '5%': -2.8677622536920317, '10%': -2.5700842229549266}}","{'annual_volatility': 0.18075239305755766, 'max_volatility': 0.3215214054947903, 'min_volatility': 0.09771882961038246, 'avg_volatility': 0.17516390191112982}","{'start_date': Timestamp('2023-01-03 00:00:00'), 'end_date': Timestamp('2024-11-08 00:00:00'), 'trading_days': 467}"
AKAM,"{'mean': 98.36775173211761, 'std': 12.467427836245243, 'min': 70.75, 'max': 128.32000732421875, 'median': 100.08000183105469, 'skewness': -0.01829873688420402, 'kurtosis': -0.4285038283409084}","{'test_statistic': -1.5621304062170465, 'p_value': 0.5025834918411732, 'critical_values': {'1%': -3.4444609168389615, '5%': -2.8677622536920317, '10%': -2.5700842229549266}}","{'annual_volatility': 0.27292639702960125, 'max_volatility': 0.5388751178170288, 'min_volatility': 0.08297983822672234, 'avg_volatility': 0.22971540773600513}","{'start_date': Timestamp('2023-01-03 00:00:00'), 'end_date': Timestamp('2024-11-08 00:00:00'), 'trading_days': 467}"
ALB,"{'mean': 155.62064268451175, 'std': 55.680929138764704, 'min': 72.8499984741211, 'max': 290.1499938964844, 'median': 131.69000244140625, 'skewness': 0.5240559137371088, 'kurtosis': -0.9245083236211533}","{'test_statistic': -1.0155519822853467, 'p_value': 0.7475498959612281, 'critical_values': {'1%': -3.4444609168389615, '5%': -2.8677622536920317, '10%': -2.5700842229549266}}","{'annual_volatility': 0.526419928626159, 'max_volatility': 0.9463308817915022, 'min_volatility': 0.21493833167569645, 'avg_volatility': 0.510368048204353}","{'start_date': Timestamp('2023-01-03 00:00:00'), 'end_date': Timestamp('2024-11-08 00:00:00'), 'trading_days': 467}"
ALGN,"{'mean': 282.0086940463146, 'std': 47.6769972015055, 'min': 183.2100067138672, 'max': 385.30999755859375, 'median': 282.5299987792969, 'skewness': -0.009615643297426535, 'kurtosis': -0.9975927108277594}","{'test_statistic': -1.9987899914590013, 'p_value': 0.2871038976473943, 'critical_values': {'1%': -3.4444609168389615, '5%': -2.8677622536920317, '10%': -2.5700842229549266}}","{'annual_volatility': 0.4803532743227027, 'max_volatility': 1.0568004710172934, 'min_volatility': 0.23953559131353377, 'avg_volatility': 0.44219323980976727}","{'start_date': Timestamp('2023-01-03 00:00:00'), 'end_date': Timestamp('2024-11-08 00:00:00'), 'trading_days': 467}"
ALLE,"{'mean': 119.50261229161788, 'std': 12.897331527922724, 'min': 96.5199966430664, 'max': 153.36000061035156, 'median': 118.43000030517578, 'skewness': 0.412745377770877, 'kurtosis': -0.5866260934844072}","{'test_statistic': -1.1577969387041986, 'p_value': 0.6914820032350109, 'critical_values': {'1%': -3.4444914328761977, '5%': -2.8677756786103683, '10%': -2.570091378194011}}","{'annual_volatility': 0.23835548639918588, 'max_volatility': 0.3647988978985288, 'min_volatility': 0.13163069175623762, 'avg_volatility': 0.23196300125433636}","{'start_date': Timestamp('2023-01-03 00:00:00'), 'end_date': Timestamp('2024-11-08 00:00:00'), 'trading_days': 467}"
ALL,"{'mean': 143.36854378416402, 'std': 28.019795339340817, 'min': 101.18000030517578, 'max': 196.89999389648438, 'median': 138.67999267578125, 'skewness': 0.18302809476178467, 'kurtosis': -1.3404339943960168}","{'test_statistic': 0.28667803929312924, 'p_value': 0.9767249591348808, 'critical_values': {'1%': -3.4444609168389615, '5%': -2.8677622536920317, '10%': -2.5700842229549266}}","{'annual_volatility': 0.24215448935086142, 'max_volatility': 0.4242297185071757, 'min_volatility': 0.12663526193370822, 'avg_volatility': 0.22957579727497093}","{'start_date': Timestamp('2023-01-03 00:00:00'), 'end_date': Timestamp('2024-11-08 00:00:00'), 'trading_days': 467}"
AMAT,"{'mean': 163.97205545560195, 'std': 38.572284077706115, 'min': 96.7300033569336, 'max': 254.97000122070312, 'median': 151.92999267578125, 'skewness': 0.29643988366041774, 'kurtosis': -1.080770777431738}","{'test_statistic': -1.6334699979531313, 'p_value': 0.46567490501104486, 'critical_values': {'1%': -3.4444914328761977, '5%': -2.8677756786103683, '10%': -2.570091378194011}}","{'annual_volatility': 0.38430928706390255, 'max_volatility': 0.7578292361171772, 'min_volatility': 0.20914501521400775, 'avg_volatility': 0.37243111906466647}","{'start_date': Timestamp('2023-01-03 00:00:00'), 'end_date': Timestamp('2024-11-08 00:00:00'), 'trading_days': 467}"
AMCR,"{'mean': 10.110406849062672, 'std': 0.8752187004872041, 'min': 8.449999809265137, 'max': 12.199999809265137, 'median': 9.960000038146973, 'skewness': 0.4378336289888844, 'kurtosis': -0.6909943541038097}","{'test_statistic': -2.2302372833943167, 'p_value': 0.1954546357636031, 'critical_values': {'1%': -3.4445220811896657, '5%': -2.8677891615873192, '10%': -2.5700985643950656}}","{'annual_volatility': 0.22159858426634885, 'max_volatility': 0.3883431240334247, 'min_volatility': 0.10174620106922233, 'avg_volatility': 0.21233110930277832}","{'start_date': Timestamp('2023-01-03 00:00:00'), 'end_date': Timestamp('2024-11-08 00:00:00'), 'trading_days': 467}"
AMD,"{'mean': 130.25890788174289, 'std': 33.829518540228676, 'min': 62.33000183105469, 'max': 211.3800048828125, 'median': 128.3699951171875, 'skewness': 0.054429542033194986, 'kurtosis': -1.0102828476028822}","{'test_statistic': -1.9943038976823018, 'p_value': 0.2890762129982112, 'critical_values': {'1%': -3.4444609168389615, '5%': -2.8677622536920317, '10%': -2.5700842229549266}}","{'annual_volatility': 0.4828912243504115, 'max_volatility': 0.7092840370822994, 'min_volatility': 0.24899083442111114, 'avg_volatility': 0.4722928016453146}","{'start_date': Timestamp('2023-01-03 00:00:00'), 'end_date': Timestamp('2024-11-08 00:00:00'), 'trading_days': 467}"
AME,"{'mean': 159.29124205628094, 'std': 13.138961518953385, 'min': 133.74000549316406, 'max': 190.9199981689453, 'median': 159.52000427246094, 'skewness': 0.015379108491003426, 'kurtosis': -0.9252925672334622}","{'test_statistic': -1.1599757407526137, 'p_value': 0.6905719550220936, 'critical_values': {'1%': -3.4444609168389615, '5%': -2.8677622536920317, '10%': -2.5700842229549266}}","{'annual_volatility': 0.2049462499714668, 'max_volatility': 0.400599531455071, 'min_volatility': 0.0728755050083824, 'avg_volatility': 0.18493730539048678}","{'start_date': Timestamp('2023-01-03 00:00:00'), 'end_date': Timestamp('2024-11-08 00:00:00'), 'trading_days': 467}"
AMGN,"{'mean': 276.3620992983179, 'std': 34.739386842176984, 'min': 214.27000427246094, 'max': 337.3800048828125, 'median': 271.7300109863281, 'skewness': 0.09198823477087269, 'kurtosis': -1.184037243372862}","{'test_statistic': -0.8648318918112382, 'p_value': 0.7993331195186149, 'critical_values': {'1%': -3.4445220811896657, '5%': -2.8677891615873192, '10%': -2.5700985643950656}}","{'annual_volatility': 0.2277882079846163, 'max_volatility': 0.4798489716515448, 'min_volatility': 0.1140266118691143, 'avg_volatility': 0.2185610291269094}","{'start_date': Timestamp('2023-01-03 00:00:00'), 'end_date': Timestamp('2024-11-08 00:00:00'), 'trading_days': 467}"
AMP,"{'mean': 377.6116697650395, 'std': 59.417490866788704, 'min': 281.42999267578125, 'max': 567.4299926757812, 'median': 356.2900085449219, 'skewness': 0.5357752263036241, 'kurtosis': -0.4041212681317208}","{'test_statistic': 0.743866751291409, 'p_value': 0.9906738540617996, 'critical_values': {'1%': -3.4444609168389615, '5%': -2.8677622536920317, '10%': -2.5700842229549266}}","{'annual_volatility': 0.23864284007831213, 'max_volatility': 0.4714291073163371, 'min_volatility': 0.11163567619952279, 'avg_volatility': 0.21137547553855152}","{'start_date': Timestamp('2023-01-03 00:00:00'), 'end_date': Timestamp('2024-11-08 00:00:00'), 'trading_days': 467}"
AMT,"{'mean': 199.19706624784612, 'std': 18.12564477301399, 'min': 157.67999267578125, 'max': 242.8300018310547, 'median': 196.36000061035156, 'skewness': 0.0940772880184632, 'kurtosis': -0.3831844490732843}","{'test_statistic': -2.009940890933889, 'p_value': 0.28223144704034053, 'critical_values': {'1%': -3.4444609168389615, '5%': -2.8677622536920317, '10%': -2.5700842229549266}}","{'annual_volatility': 0.2592171029084663, 'max_volatility': 0.43811122935340324, 'min_volatility': 0.14881101125604504, 'avg_volatility': 0.2445499819725997}","{'start_date': Timestamp('2023-01-03 00:00:00'), 'end_date': Timestamp('2024-11-08 00:00:00'), 'trading_days': 467}"
AMZN,"{'mean': 148.3767453832851, 'std': 33.155080189221714, 'min': 83.12000274658203, 'max': 210.0500030517578, 'median': 146.8800048828125, 'skewness': -0.19158745384950698, 'kurtosis': -1.256754025810454}","{'test_statistic': -0.9911540583384383, 'p_value': 0.7564769662040873, 'critical_values': {'1%': -3.4445220811896657, '5%': -2.8677891615873192, '10%': -2.5700985643950656}}","{'annual_volatility': 0.3076887270764737, 'max_volatility': 0.5368781631811176, 'min_volatility': 0.1307766522160797, 'avg_volatility': 0.2943342536756488}","{'start_date': Timestamp('2023-01-03 00:00:00'), 'end_date': Timestamp('2024-11-08 00:00:00'), 'trading_days': 467}"
ANET,"{'mean': 239.15595322145384, 'std': 84.32942157461162, 'min': 109.48999786376953, 'max': 431.0199890136719, 'median': 219.3000030517578, 'skewness': 0.398023254674273, 'kurtosis': -1.0533350325076998}","{'test_statistic': -0.34815950401833584, 'p_value': 0.9184011344387522, 'critical_values': {'1%': -3.4444609168389615, '5%': -2.8677622536920317, '10%': -2.5700842229549266}}","{'annual_volatility': 0.4375741099579968, 'max_volatility': 0.8130568233747866, 'min_volatility': 0.16615984069072176, 'avg_volatility': 0.4130342939764377}","{'start_date': Timestamp('2023-01-03 00:00:00'), 'end_date': Timestamp('2024-11-08 00:00:00'), 'trading_days': 467}"
ANSS,"{'mean': 314.37250572711037, 'std': 23.062148020676595, 'min': 231.64999389648438, 'max': 362.8800048828125, 'median': 319.8500061035156, 'skewness': -0.8657175029152399, 'kurtosis': 0.8488072203389128}","{'test_statistic': -3.549746406479456, 'p_value': 0.006797723709925926, 'critical_values': {'1%': -3.4444609168389615, '5%': -2.8677622536920317, '10%': -2.5700842229549266}}","{'annual_volatility': 0.2883882374960608, 'max_volatility': 0.7032993616917771, 'min_volatility': 0.12457516517069187, 'avg_volatility': 0.2608973081501506}","{'start_date': Timestamp('2023-01-03 00:00:00'), 'end_date': Timestamp('2024-11-08 00:00:00'), 'trading_days': 467}"
AON,"{'mean': 319.6785437769757, 'std': 19.917321993998655, 'min': 275.82000732421875, 'max': 383.7799987792969, 'median': 319.82000732421875, 'skewness': 0.22956399787867857, 'kurtosis': 0.044455971597819666}","{'test_statistic': -1.0840192773340613, 'p_value': 0.7214025775450312, 'critical_values': {'1%': -3.4444609168389615, '5%': -2.8677622536920317, '10%': -2.5700842229549266}}","{'annual_volatility': 0.19916263768687217, 'max_volatility': 0.3334315782321753, 'min_volatility': 0.07496071161189859, 'avg_volatility': 0.1881151533080993}","{'start_date': Timestamp('2023-01-03 00:00:00'), 'end_date': Timestamp('2024-11-08 00:00:00'), 'trading_days': 467}"
AOS,"{'mean': 75.76014974132595, 'std': 7.915015616561641, 'min': 57.790000915527344, 'max': 91.9800033569336, 'median': 76.20999908447266, 'skewness': -0.07920991197838023, 'kurtosis': -1.115467620138639}","{'test_statistic': -2.359424530701351, 'p_value': 0.1535174360314785, 'critical_values': {'1%': -3.4444609168389615, '5%': -2.8677622536920317, '10%': -2.5700842229549266}}","{'annual_volatility': 0.2641491290619674, 'max_volatility': 0.6088505556963182, 'min_volatility': 0.12559859235986331, 'avg_volatility': 0.24387748143409183}","{'start_date': Timestamp('2023-01-03 00:00:00'), 'end_date': Timestamp('2024-11-08 00:00:00'), 'trading_days': 467}"
APA,"{'mean': 34.31346901887489, 'std': 5.723521902581247, 'min': 21.770000457763672, 'max': 45.72999954223633, 'median': 33.709999084472656, 'skewness': 0.11719528172048652, 'kurtosis': -0.80156589435986}","{'test_statistic': -1.1548556264144452, 'p_value': 0.6927081905518717, 'critical_values': {'1%': -3.4444609168389615, '5%': -2.8677622536920317, '10%': -2.5700842229549266}}","{'annual_volatility': 0.3718628708799863, 'max_volatility': 0.6036353169275406, 'min_volatility': 0.2010132666021042, 'avg_volatility': 0.3566457337076172}","{'start_date': Timestamp('2023-01-03 00:00:00'), 'end_date': Timestamp('2024-11-08 00:00:00'), 'trading_days': 467}"
APD,"{'mean': 276.38085669572655, 'std': 22.899228767935227, 'min': 215.3800048828125, 'max': 332.1000061035156, 'median': 278.760009765625, 'skewness': -0.3593258993868635, 'kurtosis': 0.011020057749573375}","{'test_statistic': -2.1331937513087187, 'p_value': 0.23137834217354003, 'critical_values': {'1%': -3.4444609168389615, '5%': -2.8677622536920317, '10%': -2.5700842229549266}}","{'annual_volatility': 0.27027954105969393, 'max_volatility': 0.60354799810551, 'min_volatility': 0.10551150629537072, 'avg_volatility': 0.24940547743176394}","{'start_date': Timestamp('2023-01-03 00:00:00'), 'end_date': Timestamp('2024-11-08 00:00:00'), 'trading_days': 467}"
APH,"{'mean': 50.571049275694364, 'std': 11.056937478554808, 'min': 36.48500061035156, 'max': 73.94999694824219, 'median': 46.13999938964844, 'skewness': 0.44964736782565207, 'kurtosis': -1.3575965904958471}","{'test_statistic': 0.21455719887854643, 'p_value': 0.9730663452985872, 'critical_values': {'1%': -3.4444609168389615, '5%': -2.8677622536920317, '10%': -2.5700842229549266}}","{'annual_volatility': 0.22668111206051586, 'max_volatility': 0.5444258665431547, 'min_volatility': 0.10455565916441181, 'avg_volatility': 0.2122334165262658}","{'start_date': Timestamp('2023-01-03 00:00:00'), 'end_date': Timestamp('2024-11-08 00:00:00'), 'trading_days': 467}"
APTV,"{'mean': 87.9553318881376, 'std': 15.509048951389927, 'min': 53.83000183105469, 'max': 123.06999969482422, 'median': 83.77999877929688, 'skewness': 0.22905173048004268, 'kurtosis': -1.037863274976014}","{'test_statistic': -0.6010863795297784, 'p_value': 0.8707363606058647, 'critical_values': {'1%': -3.4444609168389615, '5%': -2.8677622536920317, '10%': -2.5700842229549266}}","{'annual_volatility': 0.3639855704509853, 'max_volatility': 0.6568682760680461, 'min_volatility': 0.17451659695129546, 'avg_volatility': 0.3401103462945375}","{'start_date': Timestamp('2023-01-03 00:00:00'), 'end_date': Timestamp('2024-11-08 00:00:00'), 'trading_days': 467}"
ARE,"{'mean': 121.19905774853724, 'std': 13.910869459739768, 'min': 91.66000366210938, 'max': 170.82000732421875, 'median': 119.54000091552734, 'skewness': 1.2690917160567323, 'kurtosis': 2.79943983636778}","{'test_statistic': -2.1574768681607424, 'p_value': 0.2220391091984082, 'critical_values': {'1%': -3.4444609168389615, '5%': -2.8677622536920317, '10%': -2.5700842229549266}}","{'annual_volatility': 0.3095584191769133, 'max_volatility': 0.5824199327703461, 'min_volatility': 0.1407210362870899, 'avg_volatility': 0.2962809577199395}","{'start_date': Timestamp('2023-01-03 00:00:00'), 'end_date': Timestamp('2024-11-08 00:00:00'), 'trading_days': 467}"
ATO,"{'mean': 118.30817986759945, 'std': 8.290671261528992, 'min': 102.76000213623047, 'max': 144.19000244140625, 'median': 116.06999969482422, 'skewness': 1.5121191277867816, 'kurtosis': 1.65898629948566}","{'test_statistic': -0.22771835085024794, 'p_value': 0.9351360007405685, 'critical_values': {'1%': -3.4444609168389615, '5%': -2.8677622536920317, '10%': -2.5700842229549266}}","{'annual_volatility': 0.17016286623791305, 'max_volatility': 0.268692193007338, 'min_volatility': 0.07158894347060239, 'avg_volatility': 0.16560253861510124}","{'start_date': Timestamp('2023-01-03 00:00:00'), 'end_date': Timestamp('2024-11-08 00:00:00'), 'trading_days': 467}"
AVB,"{'mean': 187.89216260889611, 'std': 18.234599118594907, 'min': 154.07000732421875, 'max': 234.75, 'median': 182.67999267578125, 'skewness': 0.8842278919751974, 'kurtosis': -0.04544666607147141}","{'test_statistic': -0.6667137004735503, 'p_value': 0.8551841037064246, 'critical_values': {'1%': -3.4444609168389615, '5%': -2.8677622536920317, '10%': -2.5700842229549266}}","{'annual_volatility': 0.20629601993837712, 'max_volatility': 0.32781378500485897, 'min_volatility': 0.09925580555092392, 'avg_volatility': 0.19516002857188966}","{'start_date': Timestamp('2023-01-03 00:00:00'), 'end_date': Timestamp('2024-11-08 00:00:00'), 'trading_days': 467}"
