symbol,basic_statistics,stationarity_test,volatility_analysis,analysis_period
AAPL,"{'mean': 186.095674633214, 'std': 24.742493941007822, 'min': 125.0199966430664, 'max': 236.47999572753906, 'median': 183.30999755859375, 'skewness': 0.19236357615676597, 'kurtosis': -0.3899529688619925}","{'test_statistic': -1.867633320322129, 'p_value': 0.34743719713590415, 'critical_values': {'1%': -3.4444914328761977, '5%': -2.8677756786103683, '10%': -2.570091378194011}}","{'annual_volatility': 0.21749807008646474, 'max_volatility': 0.3400607913508936, 'min_volatility': 0.12089239533185167, 'avg_volatility': 0.2120810621549979}","{'start_date': Timestamp('2023-01-03 00:00:00'), 'end_date': Timestamp('2024-11-08 00:00:00'), 'trading_days': 467}"
ABBV,"{'mean': 161.75196969075174, 'std': 18.15819521312943, 'min': 132.50999450683594, 'max': 203.8699951171875, 'median': 159.61000061035156, 'skewness': 0.5446628831629318, 'kurtosis': -0.6803850473805912}","{'test_statistic': -0.3337477962070691, 'p_value': 0.920586772089607, 'critical_values': {'1%': -3.4444609168389615, '5%': -2.8677622536920317, '10%': -2.5700842229549266}}","{'annual_volatility': 0.19990440734009318, 'max_volatility': 0.32181646111075896, 'min_volatility': 0.08737489371139245, 'avg_volatility': 0.18805665315935627}","{'start_date': Timestamp('2023-01-03 00:00:00'), 'end_date': Timestamp('2024-11-08 00:00:00'), 'trading_days': 467}"
ABNB,"{'mean': 133.21554604638567, 'std': 16.81029123669392, 'min': 84.9000015258789, 'max': 168.17999267578125, 'median': 132.75, 'skewness': -0.05736759258223554, 'kurtosis': -0.46363703405750023}","{'test_statistic': -3.070951285804304, 'p_value': 0.02877895538373957, 'critical_values': {'1%': -3.4444609168389615, '5%': -2.8677622536920317, '10%': -2.5700842229549266}}","{'annual_volatility': 0.38761615668983906, 'max_volatility': 0.7315618382687203, 'min_volatility': 0.17126182425851455, 'avg_volatility': 0.3618819779147081}","{'start_date': Timestamp('2023-01-03 00:00:00'), 'end_date': Timestamp('2024-11-08 00:00:00'), 'trading_days': 467}"
ABT,"{'mean': 107.3099787219944, 'std': 6.381971805190609, 'min': 90.19000244140625, 'max': 120.95999908447266, 'median': 107.4000015258789, 'skewness': -0.21315596964606298, 'kurtosis': -0.4537119071459106}","{'test_statistic': -1.977358065631713, 'p_value': 0.29658817715220265, 'critical_values': {'1%': -3.4444609168389615, '5%': -2.8677622536920317, '10%': -2.5700842229549266}}","{'annual_volatility': 0.1937852544519044, 'max_volatility': 0.317254100451277, 'min_volatility': 0.08719238538675032, 'avg_volatility': 0.18514168168304632}","{'start_date': Timestamp('2023-01-03 00:00:00'), 'end_date': Timestamp('2024-11-08 00:00:00'), 'trading_days': 467}"
ACGL,"{'mean': 84.89593152979457, 'std': 14.082479867760112, 'min': 61.2599983215332, 'max': 114.86000061035156, 'median': 82.08999633789062, 'skewness': 0.39117529853146105, 'kurtosis': -0.8383725939477795}","{'test_statistic': -1.2023970390124246, 'p_value': 0.6725637171730111, 'critical_values': {'1%': -3.4446148284445153, '5%': -2.8678299626609314, '10%': -2.5701203107928157}}","{'annual_volatility': 0.24382933404582272, 'max_volatility': 0.444635202707942, 'min_volatility': 0.12385951739994717, 'avg_volatility': 0.23081911995141727}","{'start_date': Timestamp('2023-01-03 00:00:00'), 'end_date': Timestamp('2024-11-08 00:00:00'), 'trading_days': 467}"
ACN,"{'mean': 317.1662957724463, 'std': 31.643240865320074, 'min': 246.1699981689453, 'max': 386.9100036621094, 'median': 314.5400085449219, 'skewness': 0.1559378088790307, 'kurtosis': -0.6616064580261618}","{'test_statistic': -1.6911285645525982, 'p_value': 0.43568900627417584, 'critical_values': {'1%': -3.4444609168389615, '5%': -2.8677622536920317, '10%': -2.5700842229549266}}","{'annual_volatility': 0.2301402006570387, 'max_volatility': 0.39338696136169604, 'min_volatility': 0.08941194438799761, 'avg_volatility': 0.21875052380144405}","{'start_date': Timestamp('2023-01-03 00:00:00'), 'end_date': Timestamp('2024-11-08 00:00:00'), 'trading_days': 467}"
ADBE,"{'mean': 495.29856464132763, 'std': 83.17245945940284, 'min': 320.5400085449219, 'max': 634.760009765625, 'median': 512.9000244140625, 'skewness': -0.5564949477341268, 'kurtosis': -0.7142371647340511}","{'test_statistic': -2.025953318620077, 'p_value': 0.27531067167361184, 'critical_values': {'1%': -3.4444609168389615, '5%': -2.8677622536920317, '10%': -2.5700842229549266}}","{'annual_volatility': 0.3334356685491497, 'max_volatility': 0.6263122623299315, 'min_volatility': 0.16150663185039021, 'avg_volatility': 0.3184298186622865}","{'start_date': Timestamp('2023-01-03 00:00:00'), 'end_date': Timestamp('2024-11-08 00:00:00'), 'trading_days': 467}"
ADI,"{'mean': 196.27912226478855, 'std': 20.867233106773956, 'min': 155.8800048828125, 'max': 243.3300018310547, 'median': 190.5399932861328, 'skewness': 0.5801484675619318, 'kurtosis': -0.7550411746903118}","{'test_statistic': -1.115131741118989, 'p_value': 0.7089999733678198, 'critical_values': {'1%': -3.4450311708077743, '5%': -2.8680131035505023, '10%': -2.570217924306441}}","{'annual_volatility': 0.29335642886622665, 'max_volatility': 0.5098603104679116, 'min_volatility': 0.16730583558194068, 'avg_volatility': 0.28490170101825013}","{'start_date': Timestamp('2023-01-03 00:00:00'), 'end_date': Timestamp('2024-11-08 00:00:00'), 'trading_days': 467}"
ADM,"{'mean': 69.49578167999071, 'std': 10.062196316435235, 'min': 51.380001068115234, 'max': 89.6500015258789, 'median': 72.16999816894531, 'skewness': -0.026016730632082954, 'kurtosis': -1.2890934253580106}","{'test_statistic': -1.5434893915331134, 'p_value': 0.5118986655959827, 'critical_values': {'1%': -3.4444609168389615, '5%': -2.8677622536920317, '10%': -2.5700842229549266}}","{'annual_volatility': 0.28953797320699726, 'max_volatility': 0.9113715361629489, 'min_volatility': 0.11431408137934916, 'avg_volatility': 0.24780669315684847}","{'start_date': Timestamp('2023-01-03 00:00:00'), 'end_date': Timestamp('2024-11-08 00:00:00'), 'trading_days': 467}"
ADP,"{'mean': 241.78229138784798, 'std': 20.32703027360151, 'min': 208.99000549316406, 'max': 305.17999267578125, 'median': 242.08999633789062, 'skewness': 0.7060407536147543, 'kurtosis': 0.28404137432317134}","{'test_statistic': 0.1239333698495167, 'p_value': 0.9676576557269407, 'critical_values': {'1%': -3.4444609168389615, '5%': -2.8677622536920317, '10%': -2.5700842229549266}}","{'annual_volatility': 0.1856042343031364, 'max_volatility': 0.40079713027909314, 'min_volatility': 0.0762070614407998, 'avg_volatility': 0.17085141405566717}","{'start_date': Timestamp('2023-01-03 00:00:00'), 'end_date': Timestamp('2024-11-08 00:00:00'), 'trading_days': 467}"
