Date,Predicted Close,Symbol
2024-11-09,175.91077681604986,PEP
2024-11-10,175.9210165298919,PEP
2024-11-11,172.11696396132223,PEP
2024-11-12,172.15608691877958,PEP
2024-11-13,172.15084764271597,PEP
2024-11-14,172.099569975324,PEP
2024-11-15,172.031479376143,PEP
2024-11-16,175.98244880125333,PEP
2024-11-17,175.99268851509706,PEP
2024-11-18,172.18863594652942,PEP
2024-11-19,172.2277589039889,PEP
2024-11-20,172.22251962792575,PEP
2024-11-21,172.1712419605313,PEP
2024-11-22,172.1031513613556,PEP
2024-11-23,176.05412078646094,PEP
2024-11-24,176.06436050030217,PEP
2024-11-25,172.26030793173655,PEP
2024-11-26,172.29943088919995,PEP
2024-11-27,172.29419161313592,PEP
2024-11-28,172.24291394574146,PEP
2024-11-29,172.1748233465682,PEP
2024-11-30,176.12579277167552,PEP
2024-12-01,176.1360324855109,PEP
2024-12-02,172.331979916955,PEP
2024-12-03,172.37110287441098,PEP
2024-12-04,172.3658635983456,PEP
2024-12-05,172.3145859309532,PEP
2024-12-06,172.246495331778,PEP
2024-12-07,176.19746475688666,PEP
2024-12-08,176.20770447072692,PEP
