Date,Predicted Close,Symbol
2024-11-09,175.38855840455307,PTC
2024-11-10,175.436252150413,PTC
2024-11-11,182.05588033280762,PTC
2024-11-12,181.886609184246,PTC
2024-11-13,181.7908668083082,PTC
2024-11-14,181.88018570052694,PTC
2024-11-15,182.2847853485523,PTC
2024-11-16,175.72243045022313,PTC
2024-11-17,175.77012419608056,PTC
2024-11-18,182.38975237847163,PTC
2024-11-19,182.22048122990617,PTC
2024-11-20,182.12473885396756,PTC
2024-11-21,182.21405774619103,PTC
2024-11-22,182.61865739420722,PTC
2024-11-23,176.05630249588665,PTC
2024-11-24,176.10399624174815,PTC
2024-11-25,182.72362442413564,PTC
2024-11-26,182.5543532755634,PTC
2024-11-27,182.45861089962705,PTC
2024-11-28,182.54792979184987,PTC
2024-11-29,182.95252943986208,PTC
2024-11-30,176.39017454153782,PTC
2024-12-01,176.43786828740951,PTC
2024-12-02,183.0574964697805,PTC
2024-12-03,182.88822532122063,PTC
2024-12-04,182.79248294528657,PTC
2024-12-05,182.88180183750583,PTC
2024-12-06,183.28640148552182,PTC
2024-12-07,176.72404658719518,PTC
2024-12-08,176.77174033305846,PTC
