Date,ARIMA_Forecast,Symbol
2024-11-08,32.15647274839499,AMTM
2024-11-11,32.741852537088654,AMTM
2024-11-12,33.05936852360475,AMTM
2024-11-13,33.401419494060264,AMTM
2024-11-14,32.914568510127346,AMTM
2024-11-15,33.08116391600716,AMTM
2024-11-18,33.2829487335089,AMTM
2024-11-19,33.30460377598011,AMTM
2024-11-20,33.12208046956379,AMTM
2024-11-21,33.1895663043378,AMTM
2024-11-22,33.28747942889002,AMTM
2024-11-25,33.260064083792784,AMTM
2024-11-26,33.19013055985173,AMTM
2024-11-27,33.226367343733386,AMTM
2024-11-28,33.26720706188628,AMTM
2024-11-29,33.24370679180638,AMTM
2024-12-02,33.217625765523714,AMTM
2024-12-03,33.23776262252272,AMTM
2024-12-04,33.25299950029401,AMTM
2024-12-05,33.238855914236865,AMTM
2024-12-06,33.22987350833623,AMTM
2024-12-09,33.240529197974,AMTM
2024-12-10,33.24550296194021,AMTM
2024-12-11,33.238027516703326,AMTM
2024-12-12,33.235392545880586,AMTM
2024-12-13,33.240707519637844,AMTM
2024-12-16,33.241967372592114,AMTM
2024-12-17,33.23831007759512,AMTM
2024-12-18,33.23781214686074,AMTM
2024-12-19,33.24031972894648,AMTM
