Date,ARIMA_Forecast,RNN_Forecast,Symbol
2024-11-08,21.61342550851709,,APA
2024-11-11,21.792030478895438,,APA
2024-11-12,21.553931723918076,,APA
2024-11-13,21.691014755398246,,APA
2024-11-14,21.67492236683317,,APA
2024-11-15,21.707971549768953,,APA
2024-11-18,21.677908859399977,,APA
2024-11-19,21.700064849757386,,APA
2024-11-20,21.690177153455608,,APA
2024-11-21,21.694957293204578,,APA
2024-11-22,21.690208350884152,,APA
2024-11-25,21.69364570706138,,APA
2024-11-26,21.69159403629697,,APA
2024-11-27,21.692675201147747,,APA
2024-11-28,21.691935763133493,,APA
2024-11-29,21.692504441251014,,APA
2024-12-02,21.69213897286553,,APA
2024-12-03,21.692355294497734,,APA
2024-12-04,21.692221181903882,,APA
2024-12-05,21.692315135181882,,APA
2024-12-06,21.69225111099661,,APA
2024-12-09,21.692291068851862,,APA
2024-12-10,21.69226619118796,,APA
2024-12-11,21.69228255882995,,APA
2024-12-12,21.692271494977376,,APA
2024-12-13,21.69227868285437,,APA
2024-12-16,21.6922741425537,,APA
2024-12-17,21.692277070505536,,APA
2024-12-18,21.69227513397682,,APA
2024-12-19,21.692276407161756,,APA
