Symbol,Date,Predicted Close
BRO,2024-11-08,104.22163261244941
BRO,2024-11-11,104.20082191162378
BRO,2024-11-12,104.1769462759569
BRO,2024-11-13,104.15001945444737
BRO,2024-11-14,104.12005622274968
BRO,2024-11-15,104.0870723746885
BRO,2024-11-18,104.0510847131626
BRO,2024-11-19,104.01211104044636
BRO,2024-11-20,103.97017014789759
BRO,2024-11-21,103.92528180508069
BRO,2024-11-22,103.87746674831448
BRO,2024-11-25,103.82674666865549
BRO,2024-11-26,103.77314419932654
BRO,2024-11-27,103.71668290260203
BRO,2024-11-28,103.65738725616148
BRO,2024-11-29,103.59528263892305
BRO,2024-12-02,103.53039531636944
BRO,2024-12-03,103.46275242537911
BRO,2024-12-04,103.39238195857564
BRO,2024-12-05,103.31931274820917
BRO,2024-12-06,103.24357444958322
BRO,2024-12-09,103.16519752404182
BRO,2024-12-10,103.08421322153076
BRO,2024-12-11,103.0006535627486
BRO,2024-12-12,102.91455132090172
BRO,2024-12-13,102.8259400030796
BRO,2024-12-16,102.73485383126544
BRO,2024-12-17,102.64132772299843
BRO,2024-12-18,102.54539727170348
BRO,2024-12-19,102.44709872670501
