Symbol,Date,Predicted Close
ROP,2024-11-08,567.3439709333124
ROP,2024-11-11,566.5142959980597
ROP,2024-11-12,564.3997710972594
ROP,2024-11-13,564.2838590794508
ROP,2024-11-14,564.836498319707
ROP,2024-11-15,564.8606924098465
ROP,2024-11-18,564.9978136887055
ROP,2024-11-19,565.1630925518374
ROP,2024-11-20,565.1181672420136
ROP,2024-11-21,565.0641810436515
ROP,2024-11-22,565.0631719448088
ROP,2024-11-25,565.04717704317
ROP,2024-11-26,565.0375458629638
ROP,2024-11-27,565.0461084982767
ROP,2024-11-28,565.0504652266442
ROP,2024-11-29,565.0503767564041
ROP,2024-12-02,565.0518937428295
ROP,2024-12-03,565.0520976762359
ROP,2024-12-04,565.0510398173817
ROP,2024-12-05,565.050771942359
ROP,2024-12-06,565.050799327099
ROP,2024-12-09,565.0506806562748
ROP,2024-12-10,565.0507287316474
ROP,2024-12-11,565.0508334603771
ROP,2024-12-12,565.0508407734923
ROP,2024-12-13,565.0508366721584
ROP,2024-12-16,565.0508437382209
ROP,2024-12-17,565.0508339177474
ROP,2024-12-18,565.0508253653549
ROP,2024-12-19,565.0508264773374
