Symbol,Date,Predicted Close
REGN,2024-11-08,828.8724505656295
REGN,2024-11-11,829.4518514705387
REGN,2024-11-12,828.8738643317895
REGN,2024-11-13,828.89279899066
REGN,2024-11-14,828.9341944201452
REGN,2024-11-15,828.9356628609094
REGN,2024-11-18,828.9719132318519
REGN,2024-11-19,828.9597607926004
REGN,2024-11-20,828.9595080928407
REGN,2024-11-21,828.959316773773
REGN,2024-11-22,828.9581811393782
REGN,2024-11-25,828.9593826839646
REGN,2024-11-26,828.9591425935572
REGN,2024-11-27,828.9591989374552
REGN,2024-11-28,828.9592113476593
REGN,2024-11-29,828.9591481172549
REGN,2024-12-02,828.9591801892218
REGN,2024-12-03,828.9591716712822
REGN,2024-12-04,828.9591743321718
REGN,2024-12-05,828.95917625145
REGN,2024-12-06,828.9591739918056
REGN,2024-12-09,828.9591749419005
REGN,2024-12-10,828.9591745806174
REGN,2024-12-11,828.9591746240541
REGN,2024-12-12,828.9591747235795
REGN,2024-12-13,828.9591746505323
REGN,2024-12-16,828.9591746847021
REGN,2024-12-17,828.959174672275
REGN,2024-12-18,828.9591746714328
REGN,2024-12-19,828.9591746752823
