Date,ARIMA_Forecast,RNN_Forecast,Symbol
2024-11-08,81.00174514078499,,K
2024-11-11,80.98997159097006,,K
2024-11-12,81.0128775376082,,K
2024-11-13,81.03923294303574,,K
2024-11-14,81.03167812234926,,K
2024-11-15,81.03565042884068,,K
2024-11-18,81.03999758666751,,K
2024-11-19,81.04042197598297,,K
2024-11-20,81.0401588917331,,K
2024-11-21,81.04113887521306,,K
2024-11-22,81.04134299852986,,K
2024-11-25,81.0413069228738,,K
2024-11-26,81.0414164167854,,K
2024-11-27,81.0415042456368,,K
2024-11-28,81.04149743959817,,K
2024-11-29,81.04151036428307,,K
2024-12-02,81.04152811963071,,K
2024-12-03,81.04153100169833,,K
2024-12-04,81.0415314351758,,K
2024-12-05,81.04153476523857,,K
2024-12-06,81.04153592589846,,K
2024-12-09,81.04153598450678,,K
2024-12-10,81.04153643747017,,K
2024-12-11,81.04153677574841,,K
2024-12-12,81.04153680900839,,K
2024-12-13,81.04153686591526,,K
2024-12-16,81.04153693593823,,K
2024-12-17,81.04153695414074,,K
2024-12-18,81.04153696040251,,K
2024-12-19,81.04153697300046,,K
