Date,ARIMA_Forecast,RNN_Forecast,Symbol
2024-11-08,112.2508386280003,,MU
2024-11-11,112.59461164463183,,MU
2024-11-12,112.61752695255211,,MU
2024-11-13,112.54430250851739,,MU
2024-11-14,112.57854954511497,,MU
2024-11-15,112.59519170516172,,MU
2024-11-18,112.59352164006016,,MU
2024-11-19,112.59064672660317,,MU
2024-11-20,112.59319191279197,,MU
2024-11-21,112.593862889308,,MU
2024-11-22,112.59366279514752,,MU
2024-11-25,112.59359250446585,,MU
2024-11-26,112.5937553167114,,MU
2024-11-27,112.59377475289963,,MU
2024-11-28,112.59376158059206,,MU
2024-11-29,112.59376322579607,,MU
2024-12-02,112.59377255454189,,MU
2024-12-03,112.59377261165865,,MU
2024-12-04,112.59377199327047,,MU
2024-12-05,112.59377238389322,,MU
2024-12-06,112.59377286925356,,MU
2024-12-09,112.59377282351296,,MU
2024-12-10,112.59377280687903,,MU
2024-12-11,112.59377284260742,,MU
2024-12-12,112.59377286553794,,MU
2024-12-13,112.59377286116792,,MU
2024-12-16,112.59377286170927,,MU
2024-12-17,112.59377286424153,,MU
2024-12-18,112.59377286521375,,MU
2024-12-19,112.59377286493554,,MU
