Symbol,Date,Predicted Close
CAT,2024-11-08,388.82034004092975
CAT,2024-11-11,392.87426004183834
CAT,2024-11-12,395.5257123827675
CAT,2024-11-13,397.1033583220335
CAT,2024-11-14,389.13622025297866
CAT,2024-11-15,384.7444046062473
CAT,2024-11-18,389.51129874040873
CAT,2024-11-19,388.66707353126213
CAT,2024-11-20,391.73416250463214
CAT,2024-11-21,405.9525826055346
CAT,2024-11-22,400.9306059225378
CAT,2024-11-25,392.6088545554587
CAT,2024-11-26,391.2866837037071
CAT,2024-11-27,392.7514753296686
CAT,2024-11-28,396.5665583827803
CAT,2024-11-29,395.78844953955996
CAT,2024-12-02,387.76552680055926
CAT,2024-12-03,384.18462251017905
CAT,2024-12-04,388.3402108847796
CAT,2024-12-05,386.39024946415617
CAT,2024-12-06,391.5349290585397
CAT,2024-12-09,416.0003287788846
CAT,2024-12-10,409.1309866573978
CAT,2024-12-11,397.44521592003724
CAT,2024-12-12,394.4896808978279
CAT,2024-12-13,397.38319376818094
CAT,2024-12-16,400.6457833411678
CAT,2024-12-17,401.1668839618169
CAT,2024-12-18,393.2279799102903
CAT,2024-12-19,389.271459301255
