Date,ARIMA_Forecast,RNN_Forecast,Symbol
2024-11-08,385.2667726764445,,ULTA
2024-11-11,385.0591284297356,,ULTA
2024-11-12,385.06610475157487,,ULTA
2024-11-13,385.637591735158,,ULTA
2024-11-14,385.2597231654274,,ULTA
2024-11-15,385.25102711838565,,ULTA
2024-11-18,385.240709876611,,ULTA
2024-11-19,385.2197418044409,,ULTA
2024-11-20,385.26091552204156,,ULTA
2024-11-21,385.24400068380214,,ULTA
2024-11-22,385.2431672117404,,ULTA
2024-11-25,385.24341355986843,,ULTA
2024-11-26,385.24088373872576,,ULTA
2024-11-27,385.2434406614352,,ULTA
2024-11-28,385.24273108742636,,ULTA
2024-11-29,385.2426461692819,,ULTA
2024-12-02,385.2427482512784,,ULTA
2024-12-03,385.2425337722901,,ULTA
2024-12-04,385.2426779581964,,ULTA
2024-12-05,385.2426516873687,,ULTA
2024-12-06,385.24264235683495,,ULTA
2024-12-09,385.24265489806527,,ULTA
2024-12-10,385.24263951049113,,ULTA
2024-12-11,385.2426470055487,,ULTA
2024-12-12,385.24264635789115,,ULTA
2024-12-13,385.2426453941188,,ULTA
2024-12-16,385.2426465392298,,ULTA
2024-12-17,385.2426455488433,,ULTA
2024-12-18,385.2426459040912,,ULTA
2024-12-19,385.2426459226995,,ULTA
