Date,ARIMA_Forecast,RNN_Forecast,Symbol
2024-11-08,63.91208367041969,,KO
2024-11-11,63.79256960824285,,KO
2024-11-12,63.654573612550436,,KO
2024-11-13,63.67675844908354,,KO
2024-11-14,63.69311923809978,,KO
2024-11-15,63.67938683097798,,KO
2024-11-18,63.658250244481984,,KO
2024-11-19,63.64917645580772,,KO
2024-11-20,63.652243506870555,,KO
2024-11-21,63.65181279171577,,KO
2024-11-22,63.64869958986852,,KO
2024-11-25,63.646254150698304,,KO
2024-11-26,63.64577296088073,,KO
2024-11-27,63.64592037909957,,KO
2024-11-28,63.64555543328101,,KO
2024-11-29,63.64508237708118,,KO
2024-12-02,63.6448442860422,,KO
2024-12-03,63.64481023190451,,KO
2024-12-04,63.64477998139047,,KO
2024-12-05,63.64470375631785,,KO
2024-12-06,63.64464407621791,,KO
2024-12-09,63.64462104539375,,KO
2024-12-10,63.644613987447904,,KO
2024-12-11,63.64460356546543,,KO
2024-12-12,63.644591677087,,KO
2024-12-13,63.64458468268838,,KO
2024-12-16,63.64458196392876,,KO
2024-12-17,63.644580222473486,,KO
2024-12-18,63.644578186323216,,KO
2024-12-19,63.64457655355057,,KO
