Date,ARIMA_Forecast,RNN_Forecast,Symbol
2024-11-08,178.30279211192533,,GDDY
2024-11-11,178.80495341430952,,GDDY
2024-11-12,178.8372426342315,,GDDY
2024-11-13,178.92740434409788,,GDDY
2024-11-14,178.95752425779054,,GDDY
2024-11-15,178.99091062494975,,GDDY
2024-11-18,178.99111086016333,,GDDY
2024-11-19,179.000990441471,,GDDY
2024-11-20,179.00180785395767,,GDDY
2024-11-21,179.00459922170126,,GDDY
2024-11-22,179.00440115247525,,GDDY
2024-11-25,179.0053559792468,,GDDY
2024-11-26,179.00526660710256,,GDDY
2024-11-27,179.00554219055897,,GDDY
2024-11-28,179.0054925943445,,GDDY
2024-11-29,179.00558601440994,,GDDY
2024-12-02,179.00556405169465,,GDDY
2024-12-03,179.005593208063,,GDDY
2024-12-04,179.00558471345033,,GDDY
2024-12-05,179.0055944142731,,GDDY
2024-12-06,179.00559105902434,,GDDY
2024-12-09,179.00559424922426,,GDDY
2024-12-10,179.00559301967047,,GDDY
2024-12-11,179.00559408393468,,GDDY
2024-12-12,179.00559362924827,,GDDY
2024-12-13,179.0055939879376,,GDDY
2024-12-16,179.00559382439204,,GDDY
2024-12-17,179.00559394549634,,GDDY
2024-12-18,179.00559388686767,,GDDY
2024-12-19,179.00559392815,,GDDY
