Date,ARIMA_Forecast,RNN_Forecast,Symbol
2024-11-08,50.34605420412023,,OXY
2024-11-11,50.47602696578313,,OXY
2024-11-12,50.5076244487296,,OXY
2024-11-13,50.48335250757311,,OXY
2024-11-14,50.48558880067668,,OXY
2024-11-15,50.501426258534174,,OXY
2024-11-18,50.500527207751695,,OXY
2024-11-19,50.49616757486205,,OXY
2024-11-20,50.49557537976984,,OXY
2024-11-21,50.496918889096015,,OXY
2024-11-22,50.49666159451055,,OXY
2024-11-25,50.49638792310811,,OXY
2024-11-26,50.49640428542263,,OXY
2024-11-27,50.49657447787918,,OXY
2024-11-28,50.4965262173973,,OXY
2024-11-29,50.49650744155977,,OXY
2024-12-02,50.49650372545275,,OXY
2024-12-03,50.49652177421189,,OXY
2024-12-04,50.49651285292312,,OXY
2024-12-05,50.49651317642595,,OXY
2024-12-06,50.496512134233775,,OXY
2024-12-09,50.49651463327682,,OXY
2024-12-10,50.49651318455272,,OXY
2024-12-11,50.496513606608374,,OXY
2024-12-12,50.496513301655334,,OXY
2024-12-13,50.49651367607536,,OXY
2024-12-16,50.496513424053845,,OXY
2024-12-17,50.49651353649678,,OXY
2024-12-18,50.49651346480676,,OXY
2024-12-19,50.49651352921946,,OXY
