Date,ARIMA_Forecast,RNN_Forecast,Symbol
2024-11-08,375.9501815820081,,SYK
2024-11-11,375.57709759862325,,SYK
2024-11-12,375.4565586743974,,SYK
2024-11-13,375.4910082085371,,SYK
2024-11-14,375.34046767564394,,SYK
2024-11-15,375.3402892043971,,SYK
2024-11-18,375.3552936752608,,SYK
2024-11-19,375.36239493116204,,SYK
2024-11-20,375.35982888593225,,SYK
2024-11-21,375.3632047124867,,SYK
2024-11-22,375.36323282705143,,SYK
2024-11-25,375.36278988852223,,SYK
2024-11-26,375.36250024596615,,SYK
2024-11-27,375.36261050521597,,SYK
2024-11-28,375.3625430943541,,SYK
2024-11-29,375.3625419890314,,SYK
2024-12-02,375.3625522975226,,SYK
2024-12-03,375.3625624518007,,SYK
2024-12-04,375.36255859828213,,SYK
2024-12-05,375.36255971930876,,SYK
2024-12-06,375.36255973150367,,SYK
2024-12-09,375.362559564598,,SYK
2024-12-10,375.36255923959067,,SYK
2024-12-11,375.3625593584446,,SYK
2024-12-12,375.36255934630384,,SYK
2024-12-13,375.36255934769713,,SYK
2024-12-16,375.36255934772146,,SYK
2024-12-17,375.36255935745413,,SYK
2024-12-18,375.36255935411396,,SYK
2024-12-19,375.36255935403375,,SYK
